dataset,site_id,label,task_mean,task_std,heap_delta,heap_mean,heap_std,total_requests,script_requests,wasm_requests,unique_hosts
benign,site_204,benign,0.0029417,0.001757106,864,504020,275.739007,5,0,0,2
benign,site_206,benign,0.0163764,0.006261831,253980,23805924,74547.62966,69,24,0,10
benign,site_207,benign,0.1122899,0.066907069,-2109088,45401844.4,705384.2003,170,65,0,55
benign,site_208,benign,0.0476104,0.032483641,21649216,25692434,6974302.311,13,0,0,3
benign,site_209,benign,0.0466914,0.031513004,21335984,25606349.6,6897757.348,11,0,0,2
benign,site_21,benign,0.0948756,0.049803151,879352,10051416.4,320523.2212,70,2,0,8
benign,site_210,benign,0.0027516,0.001874889,1584,5031804,615.1682697,29,1,0,7
benign,site_211,benign,0.0882066,0.053097625,4718444,62845581.6,1516919.169,183,44,0,83
benign,site_212,benign,0.0036412,0.002987561,-295796,2395259.6,147004.9804,11,4,0,4
benign,site_213,benign,0.6038342,0.4745315,10668400,24146024.8,4107562.085,196,102,0,21
benign,site_214,benign,0.0019916,0.001268141,864,504024,275.739007,4,0,0,2
benign,site_215,benign,0.0019737,0.001265447,864,504492,275.739007,3,0,0,2
benign,site_216,benign,0.0020936,0.001278222,864,504020,275.739007,4,0,0,2
benign,site_217,benign,1.6037244,0.983177995,-41921724,51771656,12101762.23,195,130,0,14
benign,site_218,benign,0.0298251,0.010463727,184320,3546469.2,55061.35101,24,8,0,2
benign,site_219,benign,0.0828401,0.041858427,1795744,70212430,528533.893,154,49,0,49
benign,site_221,benign,0.3243762,0.144054486,-1088348,55874745.2,2839734.986,214,111,0,44
benign,site_222,benign,0.0021733,0.001388439,864,625884,275.739007,4,0,0,1
benign,site_223,benign,0.0051211,0.002957617,1596,7558806,621.0217387,40,7,0,11
benign,site_224,benign,0.0038406,0.002220555,4328,7705904,1976.667903,6,0,0,2
benign,site_225,benign,0.0026188,0.001917945,864,4986476,275.739007,9,1,0,3
benign,site_227,benign,0.0056966,0.003634087,952,4233772,314.7824646,9,0,0,4
benign,site_228,benign,0.3395506,0.110178432,-6790440,54714624,6120906.658,158,75,0,19
benign,site_229,benign,0.002332,0.001576779,864,504020,275.739007,6,0,0,2
benign,site_230,benign,0.0032488,0.002286445,864,4811244,275.739007,7,1,0,2
benign,site_231,benign,0.0059811,0.003288465,1384,2277774.4,439.1125596,87,48,0,5
benign,site_232,benign,0.005609,0.003591948,19944,18879512,8730.195874,46,2,0,7
benign,site_233,benign,0.0032483,0.002125255,864,5087672,275.739007,24,3,0,5
benign,site_234,benign,0.1011449,0.073401538,672932,17972424,202489.6907,82,17,0,27
